timestamp,aqi_numeric,temperature,relative_humidity,wind_speed,pressure,pm2_5,pm10,no2,o3,hour,day_of_week,is_weekend,pm2_5_lag24h,pm10_lag24h,no2_lag24h,o3_lag24h,temperature_lag24h,relative_humidity_lag24h,wind_speed_lag24h,pressure_lag24h,aqi_lag1h,aqi_lag3h,aqi_lag6h,pm25_lag6h,pm10_lag6h
2025-03-15 21:00:00,164.89968387776608,14.5,83.0,3.6,1016.5,82.42,115.91,76.77,3.44,21,5,1,109.61,152.51,80.2,0.06,15.0,79.0,0.0,1013.3,160.57797681770285,151.0722866174921,66.70944206008585,19.57,31.65
2025-03-16 00:00:00,166.60874604847209,12.5,88.0,0.0,1016.6,85.73,111.31,62.38,9.48,0,6,1,124.86,166.83,82.25,0.03,14.5,83.0,0.0,1012.4,167.56396206533194,164.89968387776608,151.0722866174921,55.64,83.93
2025-03-16 03:00:00,170.04752370916754,15.0,79.0,3.6,1017.6,92.39,121.24,53.47,9.3,3,6,1,158.55,212.8,82.25,4.07,13.5,83.0,0.0,1014.4,166.7946259220232,166.60874604847209,164.89968387776608,82.42,115.91
2025-03-16 06:00:00,182.05742887249735,23.0,48.0,3.6,1016.6,115.65,144.4,63.75,103.0,6,6,1,116.94,162.62,52.78,52.21,20.0,56.0,11.2,1014.5,177.3691253951528,170.04752370916754,166.60874604847209,85.73,111.31
2025-03-16 09:00:00,44.00000000000001,27.0,38.0,3.6,1014.8,10.56,14.81,2.59,143.05,9,6,1,7.44,10.7,5.1,125.89,24.0,46.0,7.6,1012.8,48.583333333333336,182.05742887249735,170.04752370916754,92.39,121.24
2025-03-16 12:00:00,45.625,27.5,36.0,7.6,1010.8,10.95,14.35,4.16,141.62,12,6,1,6.31,9.2,7.2,123.02,23.0,52.0,3.6,1012.4,43.708333333333336,44.00000000000001,182.05742887249735,115.65,144.4
2025-03-16 15:00:00,152.15142255005267,19.5,64.0,0.0,1011.6,57.73,81.74,77.46,25.03,15,6,1,19.57,31.65,31.87,67.95,19.5,60.0,3.6,1014.0,107.69748743718591,45.625,44.00000000000001,10.56,14.81
2025-03-16 18:00:00,181.88703898840885,19.0,59.0,7.6,1012.1,115.32,157.85,93.22,0.56,18,6,1,55.64,83.93,60.32,19.49,15.5,79.0,0.0,1016.3,171.99926238145417,152.15142255005267,45.625,10.95,14.35
2025-03-16 21:00:00,178.272708113804,14.0,78.0,0.0,1012.9,108.32,145.75,82.94,3.67,21,6,1,82.42,115.91,76.77,3.44,14.5,83.0,3.6,1016.5,181.4739726027397,181.88703898840885,152.15142255005267,57.73,81.74
2025-03-17 00:00:00,167.1508956796628,12.0,88.0,0.0,1014.0,86.78,119.2,62.38,15.91,0,0,0,85.73,111.31,62.38,9.48,12.5,88.0,0.0,1016.6,169.71707060063224,178.272708113804,181.88703898840885,115.32,157.85
